Description,Label,URL,Row Name,Column Name
"Fuel Ethanol Biofuels Plant Net Production U.S.",M_EPOOXE_YNP_NUS_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Biofuels Plant Net Production
"Fuel Ethanol Imports U.S.",MFEIMUS1,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Imports
"Fuel Ethanol Net Receipts U.S.",M_EPOOXE_VNR_NUS-Z0P_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Net Receipts
"Fuel Ethanol Adjust- ments U.S.",M_EPOOXE_VUA_NUS_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Adjust- ments
"Fuel Ethanol Stock Change U.S.",M_EPOOXE_SCG_NUS_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Stock Change
"Fuel Ethanol Refinery & Blender Net Inputs U.S.",MFERIUS1,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Refinery & Blender Net Inputs
"Fuel Ethanol Exports U.S.",M_EPOOXE_EEX_NUS-Z00_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Exports
"Fuel Ethanol Products Supplied U.S.",M_EPOOXE_VPP_NUS_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Products Supplied
"Fuel Ethanol Ending Stocks U.S.",MFESTUS1,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,U.S.,Ending Stocks
"Finished Motor Gasoline Products Supplied U.S.",M_EPM0F_VPP_NUS_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPM0F_MBBL_M_CUR.htm,U.S.,Products Supplied
"Fuel Ethanol Biofuels Plant Net Production PADD 1",M_EPOOXE_YNP_R10_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Biofuels Plant Net Production
"Fuel Ethanol Imports PADD 1",MFEIM_R10-Z00_1,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Imports
"Fuel Ethanol Net Receipts PADD 1",M_EPOOXE_VNR_R10-Z0P_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Net Receipts
"Fuel Ethanol Adjust- ments PADD 1",M_EPOOXE_VUA_R10_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Adjust- ments
"Fuel Ethanol Stock Change PADD 1",M_EPOOXE_SCG_R10_MBBL,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Stock Change
"Fuel Ethanol Refinery & Blender Net Inputs PADD 1",MFERIP11,https://www.eia.gov/dnav/pet/PET_SUM_SND_A_EPOOXE_MBBL_M_CUR.htm,PADD 1,Refinery & Blender Net Inputs
