Description,Label,"Table #",Row
"Weekly U.S. Crude Oil Inputs into Refineries  (Thousand Barrels per Day)",WCRRIUS2,1,38
"Weekly U.S. Production of Oxygenates and Renewable Fuels  (Thousand Barrels per Day)",W_EPOOXR_YPT_NUS_MBBLD,1,38
"Weekly U.S. Oxy Plant Production of Oxygenates Fuel Ethanol  (Thousand Barrels per Day)",W_EPOOXE_YOP_NUS_MBBLD,1,42
"Weekly U.S. Crude Oil Field Production  (Thousand Barrels per Day)",WCRFPUS2,1,22
"Weekly Alaska Refinery Field Production of Crude Oil  (Thousand Barrels per Day)",W_EPC0_FPF_SAK_MBBLD,1,23
"Weekly U.S. Crude Oil Ending Stocks Excluding SPR  (Thousand Barrels)",WCESTUS1,1,3
"Weekly U.S. Total Gasoline Ending Stocks  (Thousand Barrels)",WGTSTUS1,1,5
"Weekly U.S. Ending Stocks of Oxygenates Fuel Ethanol  (Thousand Barrels)",W_EPOOXE_SAE_NUS_MBBL,1,9
"Weekly U.S. Total Distillate Ending Stocks  (Thousand Barrels)",WDISTUS1,1,11
"Weekly U.S. Finished Motor Gasoline Product Supplied  (Thousand Barrels per Day)",WGFUPUS2,1,52
"Weekly U.S. Total Distillate Fuel Oil Product Supplied  (Thousand Barrels per Day)",WGFUPUS2,1,54
"Weekly U.S. Percent Utilization of Refinery Operable Capacity  (Percent)",WPULEUS3,2,20
"Weekly U.S. Refinery and Blender Adjusted Net Production of Finished Motor Gasoline (Thousand Barrels per Day)",WGFRPUS2,9,65
"Weekly U.S. Refinery and Blender Net Production of Finished Reformulated Motor Gasoline   (Thousand Barrels per Day)",WGRRPUS2,9,73
"Weekly U.S. Refinery and Blender Net Production of Finished Reformulated Motor Gasoline with Ethanol   (Thousand Barrels per Day)",WG1TP_NUS_2,9,79
"Weekly U.S. Refinery and Blender Net Production of Other Finished Reformulated Motor Gasoline  (Thousand Barrels per Day)",W_EPM0RO_YPT_NUS_MBBLD,9,85
"Weekly U.S. Refinery and Blender Net Production of Finished Conventional Motor Gasoline  (Thousand Barrels per Day)",WG4TP_NUS_2,9,91
"Weekly U.S. Refinery and Blender Net Production of Finished Conventional Motor Gasoline with Ethanol  (Thousand Barrels per Day)",WG5TP_NUS_2,9,97
"Weekly U.S. Refinery and Blender Net Production of Finished Conventional Motor Gasoline, Ed 55 and Lower  (Thousand Barrels per Day)",W_EPM0CAL55_YPT_NUS_MBBLD,9,103
"Weekly U.S. Refinery and Blender Net Production of Finished Conventional Motor Gasoline, Greater than Ed 55  (Thousand Barrels per Day)",W_EPM0CAG55_YPT_NUS_MBBLD,9,109
"Weekly U.S. Refinery and Blender Net Production Other Finished Conventional Motor Gasoline  (Thousand Barrels per Day)",WG6TP_NUS_2,9,115
"Weekly U.S. Refinery and Blender Net Production of Distillate Fuel Oil   (Thousand Barrels per Day)",WDIRPUS2,9,139
"Weekly U.S. Blender Production of Gasoline Reformulated  (Thousand Barrels per Day)",W_EPM0R_YPB_NUS_MBBLD,3,29
"Weekly U.S. Blender Production of Reformulated Gasoline with Alcohol  (Thousand Barrels per Day)",W_EPM0RA_YPB_NUS_MBBLD,3,30
"Weekly U.S. Blender Net Production of Finished Motor Gasoline Reformulated Other  (Thousand Barrels per Day)",W_EPM0RO_YPB_NUS_MBBLD,3,31
"Weekly U.S. Blender Production of Conventional Gasoline  (Thousand Barrels per Day)",W_EPM0C_YPB_NUS_MBBLD,3,32
"Weekly U.S. Blender Production of Conventional Gasoline with Alcohol  (Thousand Barrels per Day)",W_EPM0CA_YPB_NUS_MBBLD,3,33
"Weekly U.S. Blender Net Production of Motor Gasoline, Finished, Conventional, Ed 55 & <  (Thousand Barrels per Day)",W_EPM0CAL55_YPB_NUS_MBBLD,3,34
"Weekly U.S. Blender Net Production of Motor Gasoline, Finished, Conventional, > Ed 55  (Thousand Barrels per Day)",W_EPM0CAG55_YPB_NUS_MBBLD,3,35
"Weekly U.S. Blender Production of Conventional Gasoline Other  (Thousand Barrels per Day)",W_EPM0CO_YPB_NUS_MBBLD,3,36
"Weekly U.S. Total Gasoline Imports  (Thousand Barrels per Day)",WGTIMUS2,7,22
"Weekly U.S. Imports of Fuel Ethanol  (Thousand Barrels per Day)",W_EPOOXE_IM0_NUS-Z00_MBBLD,7,26
